R,x0,y0,charge,r_g,R_over_rg,dist0,m_mode,trapped
6,20,20,1.0,1.0,6,28.284271247461902,0,0
6,30,-10,1.0,1.0,6,31.622776601683793,0,0
6,30,-3,1.0,1.0,6,30.14962686336267,0,0
6,30,0,1.0,1.0,6,30.0,0,0
6,30,3,1.0,1.0,6,30.14962686336267,0,0
6,30,10,1.0,1.0,6,31.622776601683793,0,0
6,30,20,1.0,1.0,6,36.05551275463989,0,0
8,-15,-10,1.0,1.0,8,18.027756377319946,0,0
8,-15,-3,1.0,1.0,8,15.297058540778355,0,1
8,-15,0,1.0,1.0,8,15.0,0,1
8,-15,3,1.0,1.0,8,15.297058540778355,0,1
8,-15,10,1.0,1.0,8,18.027756377319946,0,0
8,-15,20,1.0,1.0,8,25.0,0,0
8,-5,-10,1.0,1.0,8,11.180339887498949,0,1
8,-5,-3,1.0,1.0,8,5.830951894845301,0,1
8,-5,0,1.0,1.0,8,5.0,0,1
8,-5,3,1.0,1.0,8,5.830951894845301,0,1
8,-5,10,1.0,1.0,8,11.180339887498949,0,1
8,-5,20,1.0,1.0,8,20.615528128088304,0,0
8,0,-10,1.0,1.0,8,10.0,0,1
8,0,-3,1.0,1.0,8,3.0,0,1
8,0,0,1.0,1.0,8,0.0,0,1
8,0,3,1.0,1.0,8,3.0,0,1
8,0,10,1.0,1.0,8,10.0,0,1
8,0,20,1.0,1.0,8,20.0,0,0
8,5,-10,1.0,1.0,8,11.180339887498949,0,1
8,5,-3,1.0,1.0,8,5.830951894845301,0,1
8,5,0,1.0,1.0,8,5.0,0,1
8,5,3,1.0,1.0,8,5.830951894845301,0,1
8,5,10,1.0,1.0,8,11.180339887498949,0,1
8,5,20,1.0,1.0,8,20.615528128088304,0,0
8,10,-10,1.0,1.0,8,14.142135623730951,0,1
8,10,-3,1.0,1.0,8,10.44030650891055,0,1
8,10,0,1.0,1.0,8,10.0,0,1
8,10,3,1.0,1.0,8,10.44030650891055,0,1
8,10,10,1.0,1.0,8,14.142135623730951,0,1
